2025-01-26T12:13:12+00:00 INFO User in action: 0: Order id: 88, Customer id: 14, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-01-26T12:14:05+00:00 INFO User in action: 0: Order id: 89, Customer id: 15, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-01-26T12:17:59+00:00 INFO User in action: 0: Order id: 90, Customer id: 16, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-01-26T12:18:32+00:00 INFO User in action: 0: Order id: 91, Customer id: 17, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-01-26T13:26:21+00:00 INFO User in action: 0: Order id: 92, Customer id: 19, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-01-26T13:29:50+00:00 INFO User in action: 0: Order id: 93, Customer id: 20, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-01-26T13:30:27+00:00 INFO User in action: 0: Order id: 94, Customer id: 21, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-01-26T13:31:52+00:00 INFO User in action: 0: Order id: 95, Customer id: 22, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-01-26T13:33:03+00:00 INFO User in action: 0: Order id: 96, Customer id: 23, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-01-26T13:37:23+00:00 INFO User in action: 0: Order id: 97, Customer id: 25, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-01-26T13:41:28+00:00 INFO User in action: 0: Order id: 98, Customer id: 27, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-01-26T16:05:20+00:00 INFO User in action: 28: Order id: 103, Customer id: 28, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-01-26T17:03:22+00:00 INFO User in action: 29: Order id: 104, Customer id: 29, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
