2025-02-06T07:53:42+00:00 INFO User in action: 122: Order id: 167, Customer id: 122, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-02-06T07:59:50+00:00 INFO User in action: 123: Order id: 168, Customer id: 123, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-02-06T08:02:21+00:00 INFO User in action: 0: Order id: 169, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-02-06T08:03:15+00:00 INFO User in action: 0: Order id: 170, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-02-06T08:03:57+00:00 INFO User in action: 0: Order id: 171, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-02-06T08:04:52+00:00 INFO User in action: 0: Order id: 172, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-02-06T08:05:18+00:00 INFO User in action: 0: Order id: 173, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-02-06T08:06:19+00:00 INFO User in action: 124: Order id: 174, Customer id: 124, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-02-06T08:08:39+00:00 INFO User in action: 0: Order id: 175, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-02-06T08:12:48+00:00 INFO User in action: 125: Order id: 176, Customer id: 125, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-02-06T08:19:03+00:00 INFO User in action: 126: Order id: 177, Customer id: 126, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-02-06T08:25:24+00:00 INFO User in action: 127: Order id: 178, Customer id: 127, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-02-06T08:25:24+00:00 INFO User in action: 127: User comm: 1, Customer id: 109, Is membership: 1
2025-02-06T08:27:17+00:00 INFO User in action: 128: Order id: 179, Customer id: 128, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
2025-02-06T08:30:49+00:00 INFO User in action: 129: Order id: 180, Customer id: 129, Is membership: 1, Is wallet: , Wallet id: 78, Membership id: 76
